DOE_SCHOOL_CODE	DEEWR_ID	SCHOOL_NAME	LEVEL_OF_ SCHOOLING	SCHOOL_SPECIALITY_TYPE	YEAR_RANGES	PRESCHOOL_INDICATOR	SCHOOL_GENDER	TEACHING_STAFF	NON_TEACHING_STAFF	TOTAL_ENROLMENTS	PHONE	SCHOOL_EMAIL	FAX	LGA	ELECTORATE	FEDERAL_ELECTORATE	ADDRESS	SUBURB	POSTCODE	LATITUDE	LONGITUDE
1937	17425	Fort Street Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	7	1	157	9247 2963	fortstreet-p.School@det.nsw.edu.au	9241 2397	Sydney (C)	Sydney	Sydney	Observatory Hill	Sydney 	2000	-33.860427	151.204871
5745	24086	Observatory Hill Environmental Education Centre	Environmental Education Centre	Comprehensive	Environmental Education Centre (formerly Field Studies Centres)	N	Coed	1	1	NULL	9247 7321	observhill-e.School@det.nsw.edu.au	9247 4787	Sydney (C)	Sydney	Sydney	Upper Fort St Observatory Hill	Millers Point 	2000	-33.860863	151.204832
8147	5319	Conservatorium High School	Secondary School	Performing Arts	Year 7 to Year 12	N	Coed	14	5	158.2	9351 1350	conservat-h.school@det.nsw.edu.au	9351 1359	Sydney (C)	Sydney	Sydney	 Macquarie Street	Sydney	2000	-33.863407	151.21408
3305	5318	Ultimo Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	16	5	309	9660 2130	ultimo-p.School@det.nsw.edu.au	9692 8823	Sydney (C)	Balmain	Sydney	Quarry St	Ultimo 	2007	-33.877674	151.195607
1735	5323	Darlington Public School	Primary School	Comprehensive	Kinder to Year 6	Y	Coed	16	4	238	9516 2300	darlington-p.School@det.nsw.edu.au	9550 4587	Sydney (C)	Newtown	Sydney	Golden Grove St	Chippendale 	2008	-33.892638	151.18939
3935	5326	Crown Street Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	15	3	280	9360 4187	crownst-p.School@det.nsw.edu.au	9360 9623	Sydney (C)	Sydney	Sydney	356 Crown Street	Surry Hills 	2010	-33.882253	151.21522
4586	16279	Sydney Distance Education Primary School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	8	5	242	9207 6300	syddisted-d.School@det.nsw.edu.au	9207 6303	Sydney (C)	Newtown	Sydney	1 Collins Street	Surry Hills	2010	-33.88627	151.212706
7408	5324	Bourke Street Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	13	5	296	9319 7310	bourkest-p.School@det.nsw.edu.au	9310 2708	Sydney (C)	Newtown	Sydney	590 Bourke St	Surry Hills 	2010	-33.890534	151.215737
8138	5329	Sydney Girls High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Girls	56	10	949.5	9331 2336	sydneygirl-h.School@det.nsw.edu.au	9360 9702	Sydney (C)	Heffron	Wentworth	Moore Park	Surry Hills 	2010	-33.894191	151.220371
8288	17890	Cleveland Street Intensive English High School	Secondary School	Intensive English	Intensive English Centre	N	Coed	33	13	272	9319 4807	clevelandi-h.School@det.nsw.edu.au	9698 5691	Sydney (C)	Newtown	Sydney	Cnr Chalmers CLEVELAND Sts	Surry Hills	2010	-33.889068	151.20578
8600	28879	Saturday School of Community Languages	Other School	Comprehensive	Year 7 to Year 12	N	Coed	#N/A	#N/A	NULL	9886 7505	saturdaycl-h.school@det.nsw.edu.au	9886 7514	Not Specified	Ryde	Sydney	Level 3 1 Oxford StreetDarlinghurst NSW 2010	NULL	2010	-33.877323	151.212206
4551	5332	Plunkett Street Public School	Primary School	Comprehensive	Kinder to Year 6	Y	Coed	3	5	40	9358 5335	plunketstr-p.School@det.nsw.edu.au	9357 1831	Sydney (C)	Sydney	Sydney	Forbes St	Woolloomooloo 	2011	-33.870879	151.22024
7414	5327	Darlinghurst Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	11	2	284	9331 4295	darlinghur-p.School@det.nsw.edu.au	9361 5389	Sydney (C)	Sydney	Sydney	Womerah Ave	Potts Point 	2011	-33.878599	151.223432
8587	16692	Sydney Distance Education High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	124	19	524.3	9383 0200	Sydneyh-d.School@det.nsw.edu.au	9383 0222	Sydney (C)	Sydney	Sydney	Forbes St	Woolloomooloo 	2011	-33.871053	151.22098
8556	6425	Alexandria Park Community School	Central/Community School	Comprehensive	Kinder to Year 12	N	Coed	41	13	594	9698 1967	alexparkcs-c.School@det.nsw.edu.au	9319 5007	Sydney (C)	Heffron	Sydney	Park Rd	Alexandria 	2015	-33.900941	151.195844
5460	22743	Green Square School	Schools for Specific Purposes	Comprehensive	Behaviour Disorder	N	Coed	5	9	22	9319 1759	Greensq-s.school@det.nsw.edu.au	9310 3670	Sydney (C)	Heffron	Sydney	237 Botany Rd	Waterloo 	2017	-33.904025	151.203108
4516	5801	Eastlakes Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	16	1	193	9667 3659	eastlakes-p.School@det.nsw.edu.au	9667 4791	Botany Bay (C)	Heffron	Kingsford Smith	Florence Ave	Eastlakes 	2018	-33.928065	151.213836
